customer_id,date,historical_clv,forecast_clv
Abhayapuri,2026-01-01,1417,1488
Abhayapuri,2026-01-02,1419,1489
Abhayapuri,2026-01-03,1420,1491
Abhayapuri,2026-01-04,1421,1492
Abhayapuri,2026-01-05,1423,1494
Abhayapuri,2026-01-06,1424,1495
Abhayapuri,2026-01-07,1426,1497
Abhayapuri,2026-01-08,1427,1498
Abhayapuri,2026-01-09,1428,1500
Abhayapuri,2026-01-10,1430,1501
Abhayapuri,2026-01-11,1431,1503
Abhayapuri,2026-01-12,1433,1504
Abhayapuri,2026-01-13,1434,1506
Abhayapuri,2026-01-14,1436,1507
Abhayapuri,2026-01-15,1437,1509
Abhayapuri,2026-01-16,1438,1510
Abhayapuri,2026-01-17,1440,1512
Abhayapuri,2026-01-18,1441,1513
Abhayapuri,2026-01-19,1443,1515
Abhayapuri,2026-01-20,1444,1516
Abhayapuri,2026-01-21,1445,1518
Abhayapuri,2026-01-22,1447,1519
Abhayapuri,2026-01-23,1448,1521
Abhayapuri,2026-01-24,1450,1522
Abhayapuri,2026-01-25,1451,1524
Abhayapuri,2026-01-26,1453,1525
Abhayapuri,2026-01-27,1454,1527
Abhayapuri,2026-01-28,1455,1528
Abhayapuri,2026-01-29,1457,1530
Abhayapuri,2026-01-30,1458,1531
Adilabad,2026-01-01,324,340
Adilabad,2026-01-02,324,341
Adilabad,2026-01-03,325,341
Adilabad,2026-01-04,325,341
Adilabad,2026-01-05,325,342
Adilabad,2026-01-06,326,342
Adilabad,2026-01-07,326,342
Adilabad,2026-01-08,326,343
Adilabad,2026-01-09,327,343
Adilabad,2026-01-10,327,343
Adilabad,2026-01-11,327,344
Adilabad,2026-01-12,328,344
Adilabad,2026-01-13,328,344
Adilabad,2026-01-14,328,345
Adilabad,2026-01-15,329,345
Adilabad,2026-01-16,329,345
Adilabad,2026-01-17,329,346
Adilabad,2026-01-18,330,346
Adilabad,2026-01-19,330,346
Adilabad,2026-01-20,330,347
Adilabad,2026-01-21,331,347
Adilabad,2026-01-22,331,347
Adilabad,2026-01-23,331,348
Adilabad,2026-01-24,332,348
Adilabad,2026-01-25,332,348
Adilabad,2026-01-26,332,349
Adilabad,2026-01-27,333,349
Adilabad,2026-01-28,333,349
Adilabad,2026-01-29,333,350
Adilabad,2026-01-30,333,350
Agra,2026-01-01,493,518
Agra,2026-01-02,494,519
Agra,2026-01-03,494,519
Agra,2026-01-04,495,520
Agra,2026-01-05,495,520
Agra,2026-01-06,496,521
Agra,2026-01-07,496,521
Agra,2026-01-08,497,522
Agra,2026-01-09,497,522
Agra,2026-01-10,498,523
Agra,2026-01-11,498,523
Agra,2026-01-12,499,524
Agra,2026-01-13,499,524
Agra,2026-01-14,500,525
Agra,2026-01-15,500,525
Agra,2026-01-16,501,526
Agra,2026-01-17,501,526
Agra,2026-01-18,502,527
Agra,2026-01-19,502,527
Agra,2026-01-20,503,528
Agra,2026-01-21,503,529
Agra,2026-01-22,504,529
Agra,2026-01-23,504,530
Agra,2026-01-24,505,530
Agra,2026-01-25,505,531
Agra,2026-01-26,506,531
Agra,2026-01-27,506,532
Agra,2026-01-28,507,532
Agra,2026-01-29,507,533
Agra,2026-01-30,508,533
Ajmer,2026-01-01,720,756
Ajmer,2026-01-02,721,757
Ajmer,2026-01-03,722,758
Ajmer,2026-01-04,723,759
Ajmer,2026-01-05,723,760
Ajmer,2026-01-06,724,760
Ajmer,2026-01-07,725,761
Ajmer,2026-01-08,725,762
Ajmer,2026-01-09,726,763
Ajmer,2026-01-10,727,763
Ajmer,2026-01-11,728,764
Ajmer,2026-01-12,728,765
Ajmer,2026-01-13,729,766
Ajmer,2026-01-14,730,766
Ajmer,2026-01-15,731,767
Ajmer,2026-01-16,731,768
Ajmer,2026-01-17,732,769
Ajmer,2026-01-18,733,769
Ajmer,2026-01-19,733,770
Ajmer,2026-01-20,734,771
Ajmer,2026-01-21,735,772
Ajmer,2026-01-22,736,772
Ajmer,2026-01-23,736,773
Ajmer,2026-01-24,737,774
Ajmer,2026-01-25,738,775
Ajmer,2026-01-26,738,775
Ajmer,2026-01-27,739,776
Ajmer,2026-01-28,740,777
Ajmer,2026-01-29,741,778
Ajmer,2026-01-30,741,778
Akola,2026-01-01,454,476
Akola,2026-01-02,454,477
Akola,2026-01-03,455,477
Akola,2026-01-04,455,478
Akola,2026-01-05,455,478
Akola,2026-01-06,456,479
Akola,2026-01-07,456,479
Akola,2026-01-08,457,480
Akola,2026-01-09,457,480
Akola,2026-01-10,458,481
Akola,2026-01-11,458,481
Akola,2026-01-12,459,482
Akola,2026-01-13,459,482
Akola,2026-01-14,460,483
Akola,2026-01-15,460,483
Akola,2026-01-16,460,483
Akola,2026-01-17,461,484
Akola,2026-01-18,461,484
Akola,2026-01-19,462,485
Akola,2026-01-20,462,485
Akola,2026-01-21,463,486
Akola,2026-01-22,463,486
Akola,2026-01-23,464,487
Akola,2026-01-24,464,487
Akola,2026-01-25,465,488
Akola,2026-01-26,465,488
Akola,2026-01-27,465,489
Akola,2026-01-28,466,489
Akola,2026-01-29,466,490
Akola,2026-01-30,467,490
Aligarh,2026-01-01,324,340
Aligarh,2026-01-02,324,340
Aligarh,2026-01-03,324,340
Aligarh,2026-01-04,325,341
Aligarh,2026-01-05,325,341
Aligarh,2026-01-06,325,341
Aligarh,2026-01-07,325,342
Aligarh,2026-01-08,326,342
Aligarh,2026-01-09,326,342
Aligarh,2026-01-10,326,343
Aligarh,2026-01-11,327,343
Aligarh,2026-01-12,327,343
Aligarh,2026-01-13,327,344
Aligarh,2026-01-14,328,344
Aligarh,2026-01-15,328,344
Aligarh,2026-01-16,328,345
Aligarh,2026-01-17,329,345
Aligarh,2026-01-18,329,345
Aligarh,2026-01-19,329,346
Aligarh,2026-01-20,330,346
Aligarh,2026-01-21,330,347
Aligarh,2026-01-22,330,347
Aligarh,2026-01-23,331,347
Aligarh,2026-01-24,331,348
Aligarh,2026-01-25,331,348
Aligarh,2026-01-26,332,348
Aligarh,2026-01-27,332,349
Aligarh,2026-01-28,332,349
Aligarh,2026-01-29,333,349
Aligarh,2026-01-30,333,350
Allahabad,2026-01-01,381,400
Allahabad,2026-01-02,381,400
Allahabad,2026-01-03,382,401
Allahabad,2026-01-04,382,401
Allahabad,2026-01-05,382,402
Allahabad,2026-01-06,383,402
Allahabad,2026-01-07,383,402
Allahabad,2026-01-08,384,403
Allahabad,2026-01-09,384,403
Allahabad,2026-01-10,384,404
Allahabad,2026-01-11,385,404
Allahabad,2026-01-12,385,404
Allahabad,2026-01-13,386,405
Allahabad,2026-01-14,386,405
Allahabad,2026-01-15,386,406
Allahabad,2026-01-16,387,406
Allahabad,2026-01-17,387,406
Allahabad,2026-01-18,387,407
Allahabad,2026-01-19,388,407
Allahabad,2026-01-20,388,408
Allahabad,2026-01-21,389,408
Allahabad,2026-01-22,389,408
Allahabad,2026-01-23,389,409
Allahabad,2026-01-24,390,409
Allahabad,2026-01-25,390,410
Allahabad,2026-01-26,390,410
Allahabad,2026-01-27,391,410
Allahabad,2026-01-28,391,411
Allahabad,2026-01-29,392,411
Allahabad,2026-01-30,392,412
Alleppey,2026-01-01,388,408
Alleppey,2026-01-02,389,408
Alleppey,2026-01-03,389,409
Alleppey,2026-01-04,390,409
Alleppey,2026-01-05,390,410
Alleppey,2026-01-06,390,410
Alleppey,2026-01-07,391,410
Alleppey,2026-01-08,391,411
Alleppey,2026-01-09,392,411
Alleppey,2026-01-10,392,412
Alleppey,2026-01-11,392,412
Alleppey,2026-01-12,393,412
Alleppey,2026-01-13,393,413
Alleppey,2026-01-14,394,413
Alleppey,2026-01-15,394,414
Alleppey,2026-01-16,394,414
Alleppey,2026-01-17,395,414
Alleppey,2026-01-18,395,415
Alleppey,2026-01-19,395,415
Alleppey,2026-01-20,396,416
Alleppey,2026-01-21,396,416
Alleppey,2026-01-22,397,416
Alleppey,2026-01-23,397,417
Alleppey,2026-01-24,397,417
Alleppey,2026-01-25,398,418
Alleppey,2026-01-26,398,418
Alleppey,2026-01-27,399,419
Alleppey,2026-01-28,399,419
Alleppey,2026-01-29,399,419
Alleppey,2026-01-30,400,420
Almora,2026-01-01,475,498
Almora,2026-01-02,475,499
Almora,2026-01-03,476,499
Almora,2026-01-04,476,500
Almora,2026-01-05,477,500
Almora,2026-01-06,477,501
Almora,2026-01-07,478,501
Almora,2026-01-08,478,502
Almora,2026-01-09,478,502
Almora,2026-01-10,479,503
Almora,2026-01-11,479,503
Almora,2026-01-12,480,504
Almora,2026-01-13,480,504
Almora,2026-01-14,481,505
Almora,2026-01-15,481,505
Almora,2026-01-16,482,506
Almora,2026-01-17,482,506
Almora,2026-01-18,483,507
Almora,2026-01-19,483,507
Almora,2026-01-20,484,508
Almora,2026-01-21,484,508
Almora,2026-01-22,485,509
Almora,2026-01-23,485,509
Almora,2026-01-24,486,510
Almora,2026-01-25,486,510
Almora,2026-01-26,487,511
Almora,2026-01-27,487,511
Almora,2026-01-28,487,512
Almora,2026-01-29,488,512
Almora,2026-01-30,488,513
Alwar,2026-01-01,388,408
Alwar,2026-01-02,389,408
Alwar,2026-01-03,389,409
Alwar,2026-01-04,390,409
Alwar,2026-01-05,390,409
Alwar,2026-01-06,390,410
Alwar,2026-01-07,391,410
Alwar,2026-01-08,391,411
Alwar,2026-01-09,392,411
Alwar,2026-01-10,392,412
Alwar,2026-01-11,392,412
Alwar,2026-01-12,393,412
Alwar,2026-01-13,393,413
Alwar,2026-01-14,393,413
Alwar,2026-01-15,394,414
Alwar,2026-01-16,394,414
Alwar,2026-01-17,395,414
Alwar,2026-01-18,395,415
Alwar,2026-01-19,395,415
Alwar,2026-01-20,396,416
Alwar,2026-01-21,396,416
Alwar,2026-01-22,397,416
Alwar,2026-01-23,397,417
Alwar,2026-01-24,397,417
Alwar,2026-01-25,398,418
Alwar,2026-01-26,398,418
Alwar,2026-01-27,399,418
Alwar,2026-01-28,399,419
Alwar,2026-01-29,399,419
Alwar,2026-01-30,400,420
Amalapuram,2026-01-01,567,596
Amalapuram,2026-01-02,568,596
Amalapuram,2026-01-03,568,597
Amalapuram,2026-01-04,569,597
Amalapuram,2026-01-05,570,598
Amalapuram,2026-01-06,570,599
Amalapuram,2026-01-07,571,599
Amalapuram,2026-01-08,571,600
Amalapuram,2026-01-09,572,600
Amalapuram,2026-01-10,572,601
Amalapuram,2026-01-11,573,602
Amalapuram,2026-01-12,574,602
Amalapuram,2026-01-13,574,603
Amalapuram,2026-01-14,575,603
Amalapuram,2026-01-15,575,604
Amalapuram,2026-01-16,576,605
Amalapuram,2026-01-17,576,605
Amalapuram,2026-01-18,577,606
Amalapuram,2026-01-19,577,606
Amalapuram,2026-01-20,578,607
Amalapuram,2026-01-21,579,608
Amalapuram,2026-01-22,579,608
Amalapuram,2026-01-23,580,609
Amalapuram,2026-01-24,580,609
Amalapuram,2026-01-25,581,610
Amalapuram,2026-01-26,581,611
Amalapuram,2026-01-27,582,611
Amalapuram,2026-01-28,583,612
Amalapuram,2026-01-29,583,612
Amalapuram,2026-01-30,584,613
Ambala,2026-01-01,507,532
Ambala,2026-01-02,507,533
Ambala,2026-01-03,508,533
Ambala,2026-01-04,508,534
Ambala,2026-01-05,509,534
Ambala,2026-01-06,509,535
Ambala,2026-01-07,510,535
Ambala,2026-01-08,510,536
Ambala,2026-01-09,511,536
Ambala,2026-01-10,511,537
Ambala,2026-01-11,512,537
Ambala,2026-01-12,512,538
Ambala,2026-01-13,513,538
Ambala,2026-01-14,513,539
Ambala,2026-01-15,514,540
Ambala,2026-01-16,514,540
Ambala,2026-01-17,515,541
Ambala,2026-01-18,515,541
Ambala,2026-01-19,516,542
Ambala,2026-01-20,516,542
Ambala,2026-01-21,517,543
Ambala,2026-01-22,517,543
Ambala,2026-01-23,518,544
Ambala,2026-01-24,518,544
Ambala,2026-01-25,519,545
Ambala,2026-01-26,519,545
Ambala,2026-01-27,520,546
Ambala,2026-01-28,520,546
Ambala,2026-01-29,521,547
Ambala,2026-01-30,521,548
Amroha,2026-01-01,457,480
Amroha,2026-01-02,458,481
Amroha,2026-01-03,458,481
Amroha,2026-01-04,459,481
Amroha,2026-01-05,459,482
Amroha,2026-01-06,459,482
Amroha,2026-01-07,460,483
Amroha,2026-01-08,460,483
Amroha,2026-01-09,461,484
Amroha,2026-01-10,461,484
Amroha,2026-01-11,462,485
Amroha,2026-01-12,462,485
Amroha,2026-01-13,463,486
Amroha,2026-01-14,463,486
Amroha,2026-01-15,464,487
Amroha,2026-01-16,464,487
Amroha,2026-01-17,464,488
Amroha,2026-01-18,465,488
Amroha,2026-01-19,465,489
Amroha,2026-01-20,466,489
Amroha,2026-01-21,466,490
